iter,obj,time
1,2100.54,4549.84
2,1670.62,3668.85
3,1513.32,4491.27
4,1459.44,4306.07
5,1420.15,4225.44
6,1408.08,4249.09
7,1406.77,4227.08
8,1406.77,4131.40
9,1406.77,4246.35
10,1406.77,4040.94
11,1406.77,3857.54
