Instance,LB,zopt,gap,CPU,zinit,z1,cpu1,z2,cpu2,z3,cpu3,z4,gap4,cpu4
ins200-5,452.3,missing,missing,36000,2659.6,1825,288,1772.9,478,1819.2,478,1701.9,73.40%,1145
ins200-6,367.1,missing,missing,36000,2655.2,1834.3,215,1745.6,413,1681,413,1639.7,77.60%,836
ins200-7,408.1,missing,missing,36000,2322.6,1533.3,270,1529.5,504,1525.3,504,1384.3,70.50%,1294
ins200-8,454.3,missing,missing,36000,2396.8,1749.5,195,1659.1,413,1611.3,413,1544.6,70.60%,924
ins200-9,426.8,missing,missing,36000,2725.5,1926.1,346,1784.6,556,1856.1,556,1572.9,72.90%,1642
ins200-10,441.8,missing,missing,36000,2790.2,1906.2,237,1798.2,450,1830.8,450,1581,72.10%,1326
ins300-1,455,missing,missing,36000,3677.6,2414.9,1458,2317,3078,2452.2,3078,2248,79.80%,7200
ins300-2,463.1,missing,missing,36000,3541.3,2478.5,1472,2395.4,3639,2404.7,3639,2316.1,80.00%,7200
ins300-3,464.3,missing,missing,36000,3201.2,2077.4,1402,1988.9,2647,2062.4,2647,1885.3,75.40%,7147
ins300-4,461.5,missing,missing,36000,3200.6,2140.5,2014,2062.3,2992,2215.1,2992,2023.2,77.20%,7200
ins300-5,449.4,missing,missing,36000,3860,2533.4,1249,2420.4,2796,2494.3,2796,2247.6,80.00%,7200
ins300-6,471.5,missing,missing,36000,3449.6,2313.7,1580,2277.6,2861,2386.5,2861,2144.4,78.00%,7200
ins300-7,459.1,missing,missing,36000,3205.8,2142.6,1402,2061.2,3085,2072.2,3085,1971.5,76.70%,6934
ins300-8,472.4,missing,missing,36000,3290.5,2198.3,1354,2046.3,2819,2174.4,2819,1987.4,76.20%,7200
ins300-9,473.3,missing,missing,36000,3921.2,2686.5,1500,2585.7,3095,2540.6,3095,2415.5,80.40%,7023
ins300-10,451.6,missing,missing,36000,3759.7,2430.2,1224,2411.7,2581,2587,2581,2373.4,81.00%,7003
